Time (s),z_FL (m),z_FR (m),z_RL (m),z_RR (m)
1.22,4.75E-05,5.16E-05,2.97E-05,-2.60E-05
1.23,5.29E-05,5.87E-05,2.95E-05,-2.38E-05
1.24,5.70E-05,6.47E-05,2.86E-05,-2.13E-05
1.25,6.02E-05,6.83E-05,2.73E-05,-1.84E-05
1.26,6.29E-05,6.87E-05,2.53E-05,-1.51E-05
1.27,6.53E-05,6.56E-05,2.26E-05,-1.11E-05
1.28,6.75E-05,5.94E-05,1.90E-05,-6.62E-06
1.29,6.92E-05,5.09E-05,1.45E-05,-2.17E-06
1.3,6.98E-05,4.12E-05,9.24E-06,1.88E-06
1.31,6.92E-05,3.12E-05,3.39E-06,5.28E-06
1.32,6.71E-05,2.20E-05,-2.82E-06,8.02E-06
1.33,6.39E-05,1.45E-05,-9.18E-06,1.03E-05
1.34,5.97E-05,9.07E-06,-1.55E-05,1.26E-05
1.35,5.46E-05,5.73E-06,-2.15E-05,1.53E-05
1.36,4.88E-05,4.03E-06,-2.71E-05,1.85E-05
1.37,4.20E-05,3.39E-06,-3.19E-05,2.21E-05
1.38,3.40E-05,3.34E-06,-3.58E-05,2.58E-05
1.39,2.50E-05,3.53E-06,-3.86E-05,2.90E-05
1.4,1.49E-05,3.59E-06,-4.00E-05,3.13E-05
1.41,4.29E-06,3.01E-06,-4.02E-05,3.21E-05
1.42,-6.30E-06,1.38E-06,-3.89E-05,3.14E-05
1.43,-1.62E-05,-1.44E-06,-3.62E-05,2.89E-05
1.44,-2.51E-05,-5.21E-06,-3.22E-05,2.50E-05
1.45,-3.24E-05,-9.50E-06,-2.70E-05,2.01E-05
1.46,-3.82E-05,-1.38E-05,-2.12E-05,1.46E-05
1.47,-4.21E-05,-1.77E-05,-1.54E-05,8.96E-06
1.48,-4.43E-05,-2.11E-05,-1.02E-05,3.60E-06
1.49,-4.47E-05,-2.39E-05,-6.27E-06,-1.16E-06
1.5,-4.37E-05,-2.63E-05,-3.56E-06,-5.03E-06
1.51,-4.16E-05,-2.84E-05,-1.87E-06,-7.88E-06
1.52,-3.87E-05,-3.02E-05,-8.20E-07,-9.75E-06
1.53,-3.53E-05,-3.16E-05,-5.09E-08,-1.08E-05
1.54,-3.15E-05,-3.26E-05,7.32E-07,-1.12E-05
1.55,-2.72E-05,-3.28E-05,1.74E-06,-1.09E-05
